area_type,"area_type(1,2)",location,location (Cityno.),size(1BHK-5BHK),society,society(361000-461000),total_sqft,bathroom,balcony,price
Super built-up  Area,1,Electronic City Phase II,1,5,Coomee ,411298,2509,2,0,39.07
Plot  Area,2,Chikka Tirupathi,2,3,Theanmp,366370,9643,5,3,120
Built-up  Area,1,Uttarahalli,3,4,,390367,4590,2,1,62
Super built-up  Area,2,Lingadheeranahalli,4,4,Soiewre,385076,8337,3,0,95
Super built-up  Area,2,Kothanur,5,3,,365917,1121,2,2,51
Super built-up  Area,1,Whitefield,6,2,DuenaTa,452318,9635,2,0,38
Super built-up  Area,1,Old Airport Road,7,1,Jaades ,381561,7306,4,1,204
Super built-up  Area,2,Rajaji Nagar,8,3,Brway G,424665,3517,4,1,600
Super built-up  Area,1,Marathahalli,9,3,,393597,3182,3,3,63.25
Plot  Area,2,Gandhi Bazar,10,2,,449358,2372,6,1,370
Super built-up  Area,2,Whitefield,11,3,,384955,6055,2,0,70
Plot  Area,2,Whitefield,12,4,Prrry M,424261,3674,5,0,295
Super built-up  Area,1,7th Phase JP Nagar,13,2,Shncyes,431136,7086,2,2,38
Built-up  Area,2,Gottigere,14,4,,371470,4626,2,2,40
Plot  Area,1,Sarjapur,15,1,Skityer,428855,9084,3,3,148
Super built-up  Area,2,Mysore Road,16,3,PrntaEn,381119,559,2,2,73.5
Super built-up  Area,1,Bisuvanahalli,17,1,Prityel,433626,5958,3,0,48
Super built-up  Area,2,Raja Rajeshwari Nagar,18,2,GrrvaGr,407550,8949,3,1,60
Super built-up  Area,2,Ramakrishnappa Layout,19,3,PeBayle,445179,1354,4,0,290
Super built-up  Area,2,Manayata Tech Park,20,1,,443375,9953,2,3,48
Built-up  Area,2,Kengeri,21,1,,452234,4912,1,3,15
Super built-up  Area,2,Binny Pete,22,1,She 2rk,366960,9847,3,0,122
Plot  Area,2,Thanisandra,23,3,Soitya ,445952,5453,5,3,380
Super built-up  Area,1,Bellandur,24,3,,373476,3205,3,1,103
Super built-up  Area,2, Thanisandra,25,2,Bhe 2ko,442578,2013,1,0,25.25
